17:29:20.004 default [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
17:29:20.076 default [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
17:29:20.141 default [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
17:29:20.366 default [restartedMain] INFO  c.e.d.DemoCommunicateApiApplication - Started DemoCommunicateApiApplication in 6.962 seconds (JVM running for 7.817)
17:29:26.806 default [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:29:26.806 default [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
17:29:26.808 default [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
17:29:27.431 default [http-nio-8080-exec-1] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /
17:29:27.493 default [http-nio-8080-exec-4] WARN  o.s.web.servlet.PageNotFound - No mapping for GET /csrf
17:29:31.491 default [http-nio-8080-exec-9] INFO  c.e.d.C.DepositProductInfoController - getDomesticDemandList
